+----+-------------+------------+------------+----------+------+--------+----------+
| id | start_level | end_level  | start_mass | end_mass | size | parent | children |
+----+-------------+------------+------------+----------+------+--------+----------+
| 0  |    0.000    |   1.592    |   0.000    |  0.178   | 1917 |  None  |  [4, 5]  |
| 1  |    0.000    |   0.998    |   0.000    |  0.169   | 101  |  None  |    []    |
| 2  |    0.000    |   0.049    |   0.000    |  0.093   |  67  |  None  |    []    |
| 3  |    0.000    | 46061.497  |   0.000    |  0.771   |  58  |  None  |    []    |
| 4  |    1.592    |   9.093    |   0.178    |  0.241   | 1557 |   0    |  [6, 7]  |
| 5  |    1.592    | 428155.522 |   0.178    |  1.000   | 147  |   0    |    []    |
| 6  |    9.093    |   22.276   |   0.241    |  0.264   | 1420 |   4    |  [8, 9]  |
| 7  |    9.093    |   10.043   |   0.241    |  0.242   |  2   |   4    |    []    |
| 8  |    22.276   |   35.697   |   0.264    |  0.287   | 1179 |   6    | [10, 11] |
| 9  |    22.276   | 216898.165 |   0.264    |  0.964   | 194  |   6    |    []    |
| 10 |    35.697   |   43.368   |   0.287    |  0.301   | 1089 |   8    | [12, 13] |
| 11 |    35.697   |  123.924   |   0.287    |  0.389   |  50  |   8    |    []    |
| 12 |    43.368   |   97.322   |   0.301    |  0.371   | 1059 |   10   | [14, 15] |
| 13 |    43.368   |   65.338   |   0.301    |  0.313   |  3   |   10   |    []    |
| 14 |    97.322   |  179.937   |   0.371    |  0.400   | 948  |   12   | [16, 17] |
| 15 |    97.322   |  214.074   |   0.371    |  0.413   |  2   |   12   |    []    |
| 16 |   179.937   |  487.906   |   0.400    |  0.449   | 769  |   14   | [18, 19] |
| 17 |   179.937   |  2224.563  |   0.400    |  0.562   | 134  |   14   |    []    |
| 18 |   487.906   |  1567.656  |   0.449    |  0.528   | 354  |   16   | [22, 23] |
| 19 |   487.906   |  929.293   |   0.449    |  0.479   | 373  |   16   | [20, 21] |
| 20 |   929.293   |  2833.767  |   0.479    |  0.574   | 286  |   19   | [26, 27] |
| 21 |   929.293   | 303605.819 |   0.479    |  0.992   |  73  |   19   |    []    |
| 22 |   1567.656  |  2000.750  |   0.528    |  0.553   | 111  |   18   | [24, 25] |
| 23 |   1567.656  | 64366.425  |   0.528    |  0.816   | 167  |   18   | [28, 29] |
| 24 |   2000.750  |  8977.017  |   0.553    |  0.631   |  65  |   22   |    []    |
| 25 |   2000.750  |  3002.108  |   0.553    |  0.578   |  26  |   22   |    []    |
| 26 |   2833.767  | 218103.155 |   0.574    |  0.965   | 158  |   20   |    []    |
| 27 |   2833.767  | 68921.186  |   0.574    |  0.824   | 100  |   20   |    []    |
| 28 |  64366.425  | 68449.756  |   0.816    |  0.823   |  5   |   23   |    []    |
| 29 |  64366.425  | 151712.658 |   0.816    |  0.917   |  45  |   23   |    []    |
+----+-------------+------------+------------+----------+------+--------+----------+
